Epoch,Baseline_Train_Loss,Baseline_Val_Loss,Baseline_Train_Acc,Baseline_Val_Acc,Finetuning_Train_Loss,Finetuning_Val_Loss,Finetuning_Train_Acc,Finetuning_Val_Acc
1,4.51102735710144,4.357951417565346,3.75,8.6,3.983444263458252,2.9431132040917873,10.675,23.7
2,4.228583750724792,4.166667714715004,10.55,10.4,2.3889429469108583,2.063016125932336,35.775,40.3
3,4.013662275314331,4.029381915926933,15.3875,12.7,1.7295507411956788,1.703113630414009,50.2,48.8
4,3.8377324705123903,3.903513878583908,17.8375,15.0,1.3871673855781554,1.497086701914668,59.3375,53.8
5,3.6870555620193484,3.7877144515514374,20.7625,18.8,1.1775727543830872,1.3749277535825968,64.425,57.8
6,3.5642623443603516,3.7197311520576477,22.95,18.2,0.987266307592392,1.3139011384919286,69.65,58.8
7,3.4601137619018556,3.6121057122945786,25.2,19.1,0.8778521151542663,1.2530234567821026,72.45,60.6
8,3.368363374710083,3.5505123659968376,26.4125,19.8,0.7419093902111054,1.2173469867557287,76.375,62.9
9,3.2903529024124145,3.4880901128053665,27.575,20.1,0.666335969209671,1.2705764342099428,78.8125,62.9
10,3.216959909439087,3.4457462206482887,28.6,21.2,0.5823670555949211,1.2779196286574006,81.1,62.5
