Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Learning_Rate,Epoch_Time
1,4.51102735710144,3.75,4.357951417565346,8.6,0.001,73.66446185112
2,4.228583750724792,10.55,4.166667714715004,10.4,0.001,74.09271788597107
3,4.013662275314331,15.3875,4.029381915926933,12.7,0.001,73.49856495857239
4,3.8377324705123903,17.8375,3.903513878583908,15.0,0.001,73.34454417228699
5,3.6870555620193484,20.7625,3.7877144515514374,18.8,0.001,72.25713467597961
6,3.5642623443603516,22.95,3.7197311520576477,18.2,0.001,72.48566603660583
7,3.4601137619018556,25.2,3.6121057122945786,19.1,0.001,72.89569091796875
8,3.368363374710083,26.4125,3.5505123659968376,19.8,0.001,72.84788298606873
9,3.2903529024124145,27.575,3.4880901128053665,20.1,0.001,72.64947414398193
10,3.216959909439087,28.6,3.4457462206482887,21.2,0.001,73.25698804855347
