Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Learning_Rate,Epoch_Time
1,3.983444263458252,10.675,2.9431132040917873,23.7,0.001,77.43098402023315
2,2.3889429469108583,35.775,2.063016125932336,40.3,0.001,80.30592799186707
3,1.7295507411956788,50.2,1.703113630414009,48.8,0.001,80.27299094200134
4,1.3871673855781554,59.3375,1.497086701914668,53.8,0.001,79.5798032283783
5,1.1775727543830872,64.425,1.3749277535825968,57.8,0.001,80.07584309577942
6,0.987266307592392,69.65,1.3139011384919286,58.8,0.001,80.0094678401947
7,0.8778521151542663,72.45,1.2530234567821026,60.6,0.001,80.27565908432007
8,0.7419093902111054,76.375,1.2173469867557287,62.9,0.001,80.40557098388672
9,0.666335969209671,78.8125,1.2705764342099428,62.9,0.001,81.0105836391449
10,0.5823670555949211,81.1,1.2779196286574006,62.5,0.001,109.68218874931335
